InvoiceID,CustomerID,ProductID,Quantity,UnitPrice,TotalAmount,InvoiceDate,EmployeeID,VendorID,DepartmentID,PaymentStatus
INV100026,CUST0065,PROD008,2,969.71,1939.42,2025-03-13,EMP017,VEND001,DEPT03,Overdue
INV100027,CUST0006,PROD001,5,284.29,1421.45,2025-02-08,EMP022,VEND002,DEPT06,Pending
INV100028,CUST0071,PROD007,2,159.1,318.2,2024-09-20,EMP036,VEND001,DEPT03,Unpaid
INV100029,CUST0070,PROD001,9,264.74,2382.66,2024-05-06,EMP024,VEND005,DEPT03,Unpaid
INV100030,CUST0006,PROD005,6,354.61,2127.66,2024-09-09,EMP024,VEND001,DEPT03,Unpaid
INV100031,CUST0086,PROD002,7,1462.06,10234.42,2025-02-03,EMP023,VEND005,DEPT06,Unpaid
INV100032,CUST0031,PROD003,1,310.07,310.07,2025-03-12,EMP012,VEND004,DEPT05,Overdue
INV100033,CUST0053,PROD004,2,604.69,1209.38,2025-04-17,EMP018,VEND002,DEPT04,Paid
INV100034,CUST0061,PROD004,6,492.53,2955.18,2024-10-04,EMP013,VEND004,DEPT03,Unpaid
INV100035,CUST0029,PROD001,7,525.98,3681.86,2025-02-01,EMP043,VEND002,DEPT04,Paid
INV100036,CUST0099,PROD005,7,1035.3,7247.1,2024-11-19,EMP023,VEND005,DEPT06,Overdue
INV100037,CUST0004,PROD002,10,1445.67,14456.7,2024-12-10,EMP017,VEND002,DEPT03,Overdue
INV100038,CUST0005,PROD002,6,1106.39,6638.34,2024-07-23,EMP039,VEND004,DEPT05,Overdue
INV100039,CUST0056,PROD002,4,419.35,1677.4,2024-07-23,EMP025,VEND005,DEPT05,Pending
INV100040,CUST0001,PROD004,2,1425.87,2851.74,2024-10-10,EMP024,VEND004,DEPT03,Overdue
INV100041,CUST0080,PROD006,5,785.33,3926.65,2024-05-14,EMP043,VEND001,DEPT04,Pending
INV100042,CUST0042,PROD007,9,234.57,2111.13,2024-09-04,EMP045,VEND003,DEPT01,Pending
INV100043,CUST0086,PROD007,10,875.2,8752.0,2025-01-07,EMP044,VEND002,DEPT01,Pending
INV100044,CUST0071,PROD001,4,673.34,2693.36,2024-09-28,EMP020,VEND003,DEPT04,Overdue
INV100045,CUST0060,PROD008,9,736.12,6625.08,2024-07-03,EMP029,VEND002,DEPT06,Unpaid
INV100046,CUST0085,PROD002,10,536.02,5360.2,2024-10-22,EMP019,VEND005,DEPT02,Unpaid
INV100047,CUST0087,PROD005,3,85.42,256.26,2024-06-19,EMP015,VEND002,DEPT03,Unpaid
INV100048,CUST0061,PROD002,10,331.93,3319.3,2024-12-17,EMP030,VEND004,DEPT03,Pending
INV100049,CUST0064,PROD007,1,1344.36,1344.36,2024-05-13,EMP016,VEND002,DEPT01,Paid
INV100050,CUST0100,PROD007,9,723.6,6512.4,2024-09-25,EMP015,VEND002,DEPT03,Unpaid
INV100051,CUST0016,PROD008,9,1482.44,13341.96,2024-11-26,EMP009,VEND004,DEPT06,Overdue
INV100052,CUST0097,PROD008,7,1254.33,8780.31,2024-05-13,EMP040,VEND005,DEPT01,Pending
INV100053,CUST0021,PROD008,4,1267.8,5071.2,2024-12-25,EMP029,VEND003,DEPT06,Overdue
INV100054,CUST0099,PROD008,5,687.82,3439.1,2024-06-22,EMP041,VEND002,DEPT05,Overdue
INV100055,CUST0031,PROD005,9,166.84,1501.56,2024-10-19,EMP022,VEND003,DEPT06,Unpaid
INV100056,CUST0030,PROD007,4,143.13,572.52,2024-05-22,EMP045,VEND002,DEPT01,Pending
INV100057,CUST0043,PROD008,4,1257.69,5030.76,2024-09-19,EMP027,VEND001,DEPT05,Pending
INV100058,CUST0099,PROD001,7,741.62,5191.34,2024-07-20,EMP049,VEND005,DEPT01,Overdue
INV100059,CUST0039,PROD007,9,1209.81,10888.29,2024-08-31,EMP027,VEND005,DEPT05,Unpaid
INV100060,CUST0063,PROD004,8,92.09,736.72,2025-02-06,EMP018,VEND004,DEPT04,Overdue
INV100061,CUST0086,PROD007,8,1383.34,11066.72,2024-09-19,EMP047,VEND002,DEPT03,Paid
INV100062,CUST0051,PROD001,3,1306.93,3920.79,2025-02-03,EMP006,VEND004,DEPT05,Unpaid
INV100063,CUST0007,PROD005,4,709.31,2837.24,2025-03-04,EMP025,VEND003,DEPT05,Overdue
INV100064,CUST0098,PROD007,5,1260.62,6303.1,2024-08-04,EMP018,VEND004,DEPT04,Pending
INV100065,CUST0003,PROD001,2,1182.79,2365.58,2024-06-02,EMP023,VEND002,DEPT06,Paid
INV100066,CUST0097,PROD001,1,950.94,950.94,2024-05-11,EMP016,VEND002,DEPT01,Unpaid
INV100067,CUST0017,PROD008,10,1424.25,14242.5,2024-11-17,EMP043,VEND001,DEPT04,Pending
INV100068,CUST0090,PROD005,3,928.54,2785.62,2025-05-04,EMP050,VEND003,DEPT02,Paid
INV100069,CUST0100,PROD003,10,87.23,872.3,2024-09-09,EMP020,VEND001,DEPT04,Overdue
INV100070,CUST0074,PROD007,2,908.54,1817.08,2024-12-27,EMP026,VEND002,DEPT02,Unpaid
INV100071,CUST0014,PROD005,2,1204.53,2409.06,2025-02-13,EMP044,VEND005,DEPT01,Paid
INV100072,CUST0045,PROD007,2,783.64,1567.28,2024-12-28,EMP043,VEND003,DEPT04,Overdue
INV100073,CUST0002,PROD007,7,1443.14,10101.98,2025-02-04,EMP032,VEND001,DEPT05,Pending
INV100074,CUST0091,PROD003,9,1449.94,13049.46,2025-04-16,EMP028,VEND002,DEPT01,Overdue
INV100075,CUST0079,PROD008,10,439.17,4391.7,2024-07-15,EMP030,VEND004,DEPT03,Unpaid
INV100076,CUST0012,PROD005,8,876.28,7010.24,2024-05-11,EMP029,VEND002,DEPT06,Pending
INV100077,CUST0044,PROD001,3,756.95,2270.85,2024-06-28,EMP032,VEND003,DEPT05,Overdue
INV100078,CUST0034,PROD006,5,855.9,4279.5,2024-06-19,EMP018,VEND005,DEPT04,Unpaid
INV100079,CUST0011,PROD004,8,855.01,6840.08,2025-01-04,EMP047,VEND004,DEPT03,Unpaid
INV100080,CUST0089,PROD008,8,1199.75,9598.0,2024-11-26,EMP042,VEND004,DEPT03,Paid
INV100081,CUST0038,PROD004,5,1012.74,5063.7,2024-07-22,EMP026,VEND002,DEPT02,Overdue
INV100082,CUST0061,PROD006,6,560.13,3360.78,2025-01-15,EMP028,VEND005,DEPT01,Pending
INV100083,CUST0035,PROD005,2,1095.86,2191.72,2025-02-08,EMP017,VEND002,DEPT03,Overdue
INV100084,CUST0016,PROD003,8,450.92,3607.36,2024-07-04,EMP013,VEND002,DEPT03,Overdue
INV100085,CUST0013,PROD004,6,310.19,1861.14,2024-12-12,EMP019,VEND002,DEPT02,Paid
INV100086,CUST0091,PROD003,1,852.37,852.37,2025-02-01,EMP018,VEND001,DEPT04,Unpaid
INV100087,CUST0082,PROD008,10,462.29,4622.9,2024-06-14,EMP007,VEND001,DEPT01,Pending
INV100088,CUST0057,PROD006,5,1414.54,7072.7,2025-02-27,EMP012,VEND001,DEPT05,Pending
INV100089,CUST0015,PROD002,2,886.68,1773.36,2025-04-22,EMP026,VEND004,DEPT02,Paid
INV100090,CUST0020,PROD003,2,1491.18,2982.36,2024-06-12,EMP037,VEND003,DEPT02,Paid
INV100091,CUST0072,PROD007,10,377.25,3772.5,2024-05-13,EMP039,VEND005,DEPT05,Pending
INV100092,CUST0058,PROD008,7,492.8,3449.6,2024-08-26,EMP020,VEND005,DEPT04,Paid
INV100093,CUST0079,PROD002,4,433.74,1734.96,2025-01-06,EMP049,VEND002,DEPT01,Paid
INV100094,CUST0021,PROD004,2,276.97,553.94,2025-04-19,EMP012,VEND005,DEPT05,Pending
INV100095,CUST0058,PROD008,4,467.75,1871.0,2024-09-26,EMP019,VEND001,DEPT02,Overdue
INV100096,CUST0090,PROD008,5,1192.35,5961.75,2025-01-20,EMP005,VEND002,DEPT03,Unpaid
INV100097,CUST0055,PROD002,3,1367.2,4101.6,2024-05-31,EMP035,VEND002,DEPT02,Unpaid
INV100098,CUST0010,PROD001,10,1135.99,11359.9,2025-01-11,EMP011,VEND003,DEPT06,Overdue
INV100099,CUST0057,PROD002,7,1416.88,9918.16,2024-12-19,EMP030,VEND003,DEPT03,Pending
INV100100,CUST0057,PROD002,7,1115.07,7805.49,2024-06-10,EMP039,VEND001,DEPT05,Overdue
INV100101,CUST0004,PROD002,10,1428.64,14286.4,2025-02-10,EMP015,VEND005,DEPT03,Overdue
INV100102,CUST0074,PROD001,8,802.5,6420.0,2025-03-11,EMP049,VEND002,DEPT01,Pending
INV100103,CUST0036,PROD003,8,1455.13,11641.04,2024-12-09,EMP038,VEND004,DEPT05,Pending
INV100104,CUST0045,PROD007,2,1293.71,2587.42,2024-06-17,EMP022,VEND003,DEPT06,Overdue
INV100105,CUST0053,PROD008,9,103.21,928.89,2025-04-29,EMP019,VEND004,DEPT02,Paid
INV100106,CUST0041,PROD005,7,1304.12,9128.84,2025-02-14,EMP021,VEND001,DEPT01,Paid
INV100107,CUST0085,PROD008,4,801.74,3206.96,2024-09-08,EMP027,VEND001,DEPT05,Pending
INV100108,CUST0081,PROD008,4,437.23,1748.92,2024-10-07,EMP049,VEND001,DEPT01,Unpaid
INV100109,CUST0037,PROD008,2,91.86,183.72,2024-09-16,EMP045,VEND004,DEPT01,Unpaid
INV100110,CUST0091,PROD003,1,850.76,850.76,2024-11-05,EMP020,VEND005,DEPT04,Paid
INV100111,CUST0029,PROD002,3,772.64,2317.92,2024-09-05,EMP030,VEND001,DEPT03,Overdue
INV100112,CUST0066,PROD005,8,403.41,3227.28,2025-03-10,EMP027,VEND004,DEPT05,Unpaid
INV100113,CUST0050,PROD004,3,1302.84,3908.52,2025-02-28,EMP039,VEND005,DEPT05,Overdue
INV100114,CUST0099,PROD007,5,1239.8,6199.0,2024-06-11,EMP022,VEND005,DEPT06,Overdue
INV100115,CUST0093,PROD005,8,1304.63,10437.04,2025-04-20,EMP038,VEND005,DEPT05,Pending
INV100116,CUST0069,PROD008,9,1156.17,10405.53,2024-12-22,EMP023,VEND003,DEPT06,Pending
INV100117,CUST0059,PROD006,10,605.31,6053.1,2025-03-03,EMP013,VEND002,DEPT03,Pending
INV100118,CUST0006,PROD006,7,609.81,4268.67,2025-01-17,EMP048,VEND004,DEPT02,Unpaid
INV100119,CUST0064,PROD001,10,531.39,5313.9,2024-10-10,EMP009,VEND005,DEPT06,Paid
INV100120,CUST0057,PROD002,1,1097.54,1097.54,2025-01-27,EMP034,VEND004,DEPT02,Pending
INV100121,CUST0084,PROD003,5,540.91,2704.55,2025-04-22,EMP005,VEND004,DEPT03,Pending
INV100122,CUST0084,PROD002,7,1433.5,10034.5,2024-08-10,EMP022,VEND005,DEPT06,Pending
INV100123,CUST0070,PROD001,4,965.18,3860.72,2025-02-23,EMP040,VEND001,DEPT01,Overdue
INV100124,CUST0030,PROD002,2,693.33,1386.66,2024-11-16,EMP028,VEND001,DEPT01,Overdue
INV100125,CUST0004,PROD001,5,569.77,2848.85,2024-10-27,EMP021,VEND001,DEPT01,Pending
INV100126,CUST0019,PROD004,10,1038.61,10386.1,2024-10-10,EMP034,VEND004,DEPT02,Unpaid
INV100127,CUST0022,PROD003,7,948.58,6640.06,2025-01-26,EMP006,VEND005,DEPT05,Unpaid
INV100128,CUST0064,PROD003,5,716.38,3581.9,2024-08-10,EMP015,VEND004,DEPT03,Paid
INV100129,CUST0060,PROD005,3,157.1,471.3,2025-03-11,EMP044,VEND005,DEPT01,Overdue
INV100130,CUST0076,PROD005,5,712.41,3562.05,2025-03-04,EMP041,VEND004,DEPT05,Overdue
INV100131,CUST0026,PROD007,4,602.98,2411.92,2024-06-04,EMP031,VEND001,DEPT06,Overdue
INV100132,CUST0074,PROD005,1,1468.02,1468.02,2025-03-22,EMP045,VEND003,DEPT01,Pending
INV100133,CUST0036,PROD001,10,1130.5,11305.0,2024-08-01,EMP037,VEND001,DEPT02,Overdue
INV100134,CUST0100,PROD004,4,973.1,3892.4,2024-10-21,EMP039,VEND003,DEPT05,Overdue
INV100135,CUST0087,PROD003,1,497.95,497.95,2024-12-13,EMP041,VEND001,DEPT05,Pending
INV100136,CUST0005,PROD006,2,1368.96,2737.92,2024-09-19,EMP047,VEND002,DEPT03,Overdue
INV100137,CUST0096,PROD007,3,1190.44,3571.32,2024-05-14,EMP012,VEND002,DEPT05,Overdue
INV100138,CUST0068,PROD005,8,1452.71,11621.68,2025-03-11,EMP011,VEND003,DEPT06,Overdue
INV100139,CUST0096,PROD006,2,254.1,508.2,2024-07-09,EMP008,VEND004,DEPT06,Unpaid
INV100140,CUST0087,PROD007,2,1196.49,2392.98,2024-07-20,EMP036,VEND003,DEPT03,Paid
INV100141,CUST0034,PROD002,5,897.61,4488.05,2025-02-20,EMP030,VEND003,DEPT03,Overdue
INV100142,CUST0014,PROD004,10,1332.14,13321.4,2024-09-05,EMP031,VEND001,DEPT06,Overdue
INV100143,CUST0079,PROD004,8,1368.61,10948.88,2025-03-22,EMP042,VEND001,DEPT03,Overdue
INV100144,CUST0084,PROD007,1,1422.08,1422.08,2025-01-15,EMP008,VEND002,DEPT06,Overdue
INV100145,CUST0064,PROD002,9,246.71,2220.39,2024-08-13,EMP007,VEND002,DEPT01,Pending
INV100146,CUST0048,PROD007,7,999.64,6997.48,2024-05-07,EMP038,VEND002,DEPT05,Pending
INV100147,CUST0079,PROD007,6,365.04,2190.24,2025-04-15,EMP018,VEND001,DEPT04,Pending
INV100148,CUST0031,PROD006,9,1357.46,12217.14,2024-06-04,EMP007,VEND003,DEPT01,Overdue
INV100149,CUST0008,PROD007,2,1426.07,2852.14,2025-01-22,EMP018,VEND002,DEPT04,Pending
INV100150,CUST0012,PROD004,1,123.34,123.34,2024-10-29,EMP042,VEND005,DEPT03,Overdue
INV100151,CUST0032,PROD003,2,1253.24,2506.48,2025-02-05,EMP037,VEND002,DEPT02,Unpaid
INV100152,CUST0076,PROD004,3,1193.53,3580.59,2025-01-11,EMP015,VEND003,DEPT03,Paid
INV100153,CUST0036,PROD003,5,1207.85,6039.25,2024-12-26,EMP009,VEND005,DEPT06,Paid
INV100154,CUST0085,PROD001,6,1195.48,7172.88,2024-10-30,EMP009,VEND001,DEPT06,Unpaid
INV100155,CUST0076,PROD006,5,125.98,629.9,2025-02-18,EMP002,VEND002,DEPT05,Pending
INV100156,CUST0068,PROD002,8,700.0,5600.0,2024-06-07,EMP048,VEND001,DEPT02,Overdue
INV100157,CUST0066,PROD002,4,1420.85,5683.4,2024-07-24,EMP029,VEND005,DEPT06,Paid
INV100158,CUST0094,PROD005,1,1497.95,1497.95,2025-01-12,EMP030,VEND001,DEPT03,Pending
INV100159,CUST0055,PROD002,2,1353.94,2707.88,2024-08-24,EMP032,VEND004,DEPT05,Overdue
INV100160,CUST0078,PROD003,5,955.26,4776.3,2024-12-02,EMP005,VEND002,DEPT03,Overdue
INV100161,CUST0049,PROD005,10,673.79,6737.9,2024-10-24,EMP030,VEND005,DEPT03,Paid
INV100162,CUST0084,PROD004,4,650.03,2600.12,2024-11-14,EMP028,VEND004,DEPT01,Pending
INV100163,CUST0052,PROD007,6,668.81,4012.86,2024-10-06,EMP047,VEND001,DEPT03,Overdue
INV100164,CUST0048,PROD003,2,182.28,364.56,2025-02-01,EMP044,VEND004,DEPT01,Paid
INV100165,CUST0012,PROD007,3,856.74,2570.22,2024-09-02,EMP007,VEND003,DEPT01,Overdue
INV100166,CUST0086,PROD002,7,1308.73,9161.11,2025-01-16,EMP027,VEND003,DEPT05,Paid
INV100167,CUST0037,PROD005,10,785.75,7857.5,2024-08-11,EMP023,VEND001,DEPT06,Unpaid
INV100168,CUST0085,PROD008,6,1275.79,7654.74,2024-08-04,EMP015,VEND001,DEPT03,Overdue
INV100169,CUST0015,PROD005,7,1275.47,8928.29,2024-06-17,EMP037,VEND002,DEPT02,Paid
INV100170,CUST0078,PROD005,5,1068.91,5344.55,2024-07-13,EMP002,VEND002,DEPT05,Overdue
INV100171,CUST0044,PROD006,3,871.17,2613.51,2024-06-16,EMP001,VEND002,DEPT04,Pending
INV100172,CUST0009,PROD003,2,1131.86,2263.72,2024-11-16,EMP048,VEND001,DEPT02,Unpaid
INV100173,CUST0049,PROD007,3,586.58,1759.74,2025-02-06,EMP030,VEND003,DEPT03,Overdue
INV100174,CUST0100,PROD002,3,1143.93,3431.79,2024-07-10,EMP004,VEND002,DEPT05,Paid
INV100175,CUST0087,PROD002,7,754.21,5279.47,2024-07-22,EMP018,VEND004,DEPT04,Pending
INV100176,CUST0054,PROD005,2,550.5,1101.0,2024-10-28,EMP014,VEND005,DEPT06,Paid
INV100177,CUST0037,PROD008,1,369.75,369.75,2025-01-24,EMP034,VEND003,DEPT02,Paid
INV100178,CUST0001,PROD004,3,1158.03,3474.09,2025-04-26,EMP020,VEND002,DEPT04,Overdue
INV100179,CUST0042,PROD002,7,304.76,2133.32,2024-11-12,EMP001,VEND004,DEPT04,Pending
INV100180,CUST0069,PROD004,6,154.51,927.06,2024-08-15,EMP033,VEND005,DEPT05,Paid
INV100181,CUST0056,PROD001,6,884.85,5309.1,2024-06-09,EMP030,VEND001,DEPT03,Pending
INV100182,CUST0091,PROD007,7,80.24,561.68,2024-07-14,EMP019,VEND001,DEPT02,Overdue
INV100183,CUST0022,PROD008,2,683.23,1366.46,2024-07-26,EMP045,VEND003,DEPT01,Paid
INV100184,CUST0032,PROD007,9,164.04,1476.36,2024-07-08,EMP038,VEND004,DEPT05,Overdue
INV100185,CUST0096,PROD006,3,160.75,482.25,2024-05-09,EMP015,VEND003,DEPT03,Paid
INV100186,CUST0068,PROD004,6,1104.7,6628.2,2024-11-15,EMP050,VEND003,DEPT02,Unpaid
INV100187,CUST0031,PROD002,4,301.57,1206.28,2024-08-12,EMP010,VEND003,DEPT01,Unpaid
INV100188,CUST0098,PROD002,8,1143.95,9151.6,2025-04-25,EMP012,VEND004,DEPT05,Pending
INV100189,CUST0088,PROD006,3,687.66,2062.98,2024-11-22,EMP041,VEND003,DEPT05,Pending
INV100190,CUST0057,PROD005,1,560.32,560.32,2025-01-14,EMP018,VEND005,DEPT04,Paid
INV100191,CUST0040,PROD008,1,584.67,584.67,2024-06-19,EMP029,VEND001,DEPT06,Overdue
INV100192,CUST0010,PROD002,9,607.5,5467.5,2025-03-17,EMP040,VEND005,DEPT01,Paid
INV100193,CUST0058,PROD004,8,776.98,6215.84,2024-10-30,EMP021,VEND005,DEPT01,Paid
INV100194,CUST0058,PROD002,9,986.88,8881.92,2025-03-19,EMP022,VEND001,DEPT06,Paid
INV100195,CUST0032,PROD008,9,934.22,8407.98,2024-11-30,EMP029,VEND005,DEPT06,Overdue
INV100196,CUST0048,PROD005,6,1034.4,6206.4,2024-10-22,EMP025,VEND004,DEPT05,Paid
INV100197,CUST0081,PROD006,2,859.05,1718.1,2024-10-12,EMP005,VEND003,DEPT03,Pending
INV100198,CUST0037,PROD005,3,533.37,1600.11,2024-07-10,EMP047,VEND005,DEPT03,Unpaid
INV100199,CUST0045,PROD005,3,912.81,2738.43,2024-05-22,EMP042,VEND004,DEPT03,Paid
INV100200,CUST0040,PROD007,3,1021.67,3065.01,2025-04-13,EMP042,VEND003,DEPT03,Paid
INV100201,CUST0083,PROD007,1,575.77,575.77,2024-10-25,EMP033,VEND003,DEPT05,Unpaid
INV100202,CUST0028,PROD006,4,378.49,1513.96,2025-02-28,EMP050,VEND004,DEPT02,Unpaid
INV100203,CUST0020,PROD002,9,1167.77,10509.93,2024-09-27,EMP019,VEND001,DEPT02,Paid
INV100204,CUST0085,PROD006,3,916.01,2748.03,2024-05-31,EMP050,VEND005,DEPT02,Unpaid
INV100205,CUST0021,PROD003,3,1095.72,3287.16,2024-12-20,EMP045,VEND005,DEPT01,Paid
INV100206,CUST0053,PROD006,8,935.36,7482.88,2024-05-23,EMP044,VEND002,DEPT01,Pending
INV100207,CUST0030,PROD004,4,583.37,2333.48,2024-06-27,EMP020,VEND004,DEPT04,Pending
INV100208,CUST0060,PROD005,9,814.82,7333.38,2024-11-25,EMP050,VEND004,DEPT02,Unpaid
INV100209,CUST0026,PROD003,8,1317.47,10539.76,2024-08-23,EMP017,VEND001,DEPT03,Paid
INV100210,CUST0092,PROD002,3,445.55,1336.65,2025-05-02,EMP019,VEND001,DEPT02,Unpaid
INV100211,CUST0056,PROD002,6,1399.18,8395.08,2024-06-16,EMP015,VEND004,DEPT03,Pending
INV100212,CUST0007,PROD007,4,609.94,2439.76,2025-02-07,EMP033,VEND003,DEPT05,Paid
INV100213,CUST0048,PROD004,2,1266.81,2533.62,2024-12-11,EMP002,VEND003,DEPT05,Overdue
INV100214,CUST0019,PROD003,8,1059.3,8474.4,2025-02-17,EMP003,VEND003,DEPT04,Unpaid
INV100215,CUST0098,PROD008,1,1363.49,1363.49,2024-07-25,EMP029,VEND005,DEPT06,Paid
INV100216,CUST0033,PROD004,10,815.27,8152.7,2024-11-11,EMP010,VEND005,DEPT01,Paid
INV100217,CUST0100,PROD005,2,119.24,238.48,2024-10-15,EMP016,VEND003,DEPT01,Pending
INV100218,CUST0082,PROD008,8,915.27,7322.16,2024-10-13,EMP005,VEND001,DEPT03,Paid
INV100219,CUST0081,PROD004,5,672.4,3362.0,2025-03-14,EMP046,VEND002,DEPT03,Overdue
INV100220,CUST0031,PROD007,9,1463.25,13169.25,2025-05-01,EMP012,VEND001,DEPT05,Paid
INV100221,CUST0068,PROD001,1,971.72,971.72,2024-08-23,EMP025,VEND004,DEPT05,Overdue
INV100222,CUST0033,PROD001,6,399.63,2397.78,2024-12-17,EMP023,VEND001,DEPT06,Paid
INV100223,CUST0099,PROD006,6,841.72,5050.32,2024-12-13,EMP009,VEND001,DEPT06,Unpaid
INV100224,CUST0100,PROD008,3,1226.67,3680.01,2025-01-29,EMP045,VEND004,DEPT01,Paid
INV100225,CUST0092,PROD008,4,113.52,454.08,2025-04-15,EMP003,VEND003,DEPT04,Unpaid
INV100226,CUST0006,PROD006,7,1484.23,10389.61,2024-07-19,EMP020,VEND005,DEPT04,Pending
INV100227,CUST0033,PROD001,5,567.61,2838.05,2024-07-20,EMP049,VEND002,DEPT01,Paid
INV100228,CUST0084,PROD006,6,683.58,4101.48,2024-12-31,EMP018,VEND001,DEPT04,Pending
INV100229,CUST0096,PROD008,3,769.49,2308.47,2024-06-30,EMP025,VEND003,DEPT05,Pending
INV100230,CUST0048,PROD005,2,674.38,1348.76,2024-07-06,EMP006,VEND004,DEPT05,Unpaid
INV100231,CUST0070,PROD005,2,525.48,1050.96,2024-05-31,EMP021,VEND001,DEPT01,Overdue
INV100232,CUST0040,PROD008,3,1050.16,3150.48,2024-05-04,EMP039,VEND004,DEPT05,Overdue
INV100233,CUST0058,PROD001,10,1497.32,14973.2,2024-10-15,EMP047,VEND003,DEPT03,Overdue
INV100234,CUST0082,PROD001,6,793.97,4763.82,2024-12-07,EMP005,VEND004,DEPT03,Unpaid
INV100235,CUST0004,PROD003,1,233.03,233.03,2024-08-18,EMP039,VEND004,DEPT05,Unpaid
INV100236,CUST0100,PROD006,10,96.96,969.6,2024-07-27,EMP024,VEND004,DEPT03,Unpaid
INV100237,CUST0087,PROD008,8,1156.47,9251.76,2025-01-17,EMP024,VEND003,DEPT03,Unpaid
INV100238,CUST0068,PROD006,5,411.94,2059.7,2025-01-16,EMP026,VEND003,DEPT02,Paid
INV100239,CUST0004,PROD003,7,1374.64,9622.48,2024-10-17,EMP032,VEND005,DEPT05,Paid
INV100240,CUST0034,PROD005,4,1494.73,5978.92,2025-01-10,EMP046,VEND004,DEPT03,Overdue
INV100241,CUST0089,PROD008,3,1286.6,3859.8,2025-04-07,EMP013,VEND001,DEPT03,Pending
INV100242,CUST0023,PROD008,6,1078.83,6472.98,2025-02-16,EMP006,VEND003,DEPT05,Overdue
INV100243,CUST0039,PROD003,6,787.7,4726.2,2024-12-18,EMP046,VEND002,DEPT03,Paid
INV100244,CUST0026,PROD003,1,573.3,573.3,2024-12-31,EMP016,VEND004,DEPT01,Overdue
INV100245,CUST0060,PROD003,2,498.47,996.94,2025-04-10,EMP040,VEND001,DEPT01,Pending
INV100246,CUST0068,PROD007,10,156.94,1569.4,2024-10-06,EMP050,VEND004,DEPT02,Overdue
INV100247,CUST0083,PROD002,9,549.55,4945.95,2024-11-19,EMP029,VEND004,DEPT06,Unpaid
INV100248,CUST0099,PROD003,1,1255.52,1255.52,2024-12-27,EMP028,VEND005,DEPT01,Unpaid
INV100249,CUST0039,PROD003,4,551.73,2206.92,2025-04-01,EMP011,VEND003,DEPT06,Overdue
INV100250,CUST0011,PROD005,5,231.5,1157.5,2025-03-02,EMP013,VEND005,DEPT03,Overdue
INV100251,CUST0079,PROD002,10,1415.33,14153.3,2024-05-30,EMP033,VEND002,DEPT05,Unpaid
